,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
308,carupano,12,VE,1624721775,67,10.6678,-63.2585,85.08,8.9
309,meulaboh,98,ID,1624721212,87,4.1363,96.1285,76.84,2.48
310,cayenne,40,GF,1624721776,74,4.9333,-52.3333,87.84,5.01
311,east london,33,IS,1624721179,26,65.0,-15.0,67.75,26.35
312,palmer,90,US,1624721678,74,42.1584,-72.3287,81.21,1.01
313,luanda,17,AO,1624721024,73,-8.8368,13.2343,76.98,13.58
314,katangli,100,RU,1624721777,93,51.7102,143.2326,43.32,7.7
315,geraldton,87,AU,1624721188,76,-28.7667,114.6,48.61,13.8
316,luderitz,0,NA,1624721777,64,-26.6481,15.1594,60.28,13.4
317,lorengau,48,PG,1624721778,80,-2.0226,147.2712,80.29,5.41
318,hudson bay,40,US,1624721778,72,40.7168,-74.0663,85.08,11.99
319,kahului,1,US,1624721510,81,20.8947,-156.47,73.85,5.75
320,whitecourt,20,CA,1624721778,53,54.1502,-115.6855,74.44,10.36
321,kattivakkam,100,IN,1624721779,76,13.2167,80.3167,87.89,13.53
322,kadoma,100,JP,1624721779,71,34.7333,135.5833,75.18,1.99
323,pitimbu,85,BR,1624721260,57,-7.4706,-34.8086,86.59,18.43
324,ntcheu,5,MW,1624721780,52,-14.8203,34.6359,62.29,2.57
325,manzanillo,2,CU,1624721780,64,20.3433,-77.1167,84.78,3.85
326,san-pedro,100,CI,1624721780,79,4.7485,-6.6363,80.01,6.73
327,sinnamary,34,GF,1624721781,73,5.3833,-52.95,81.97,9.37
328,port lincoln,32,CD,1624721160,44,-7.0349,29.7638,79.21,1.72
329,pirgos,0,GR,1624721781,46,35.1167,25.7178,91.08,6.08
330,husavik,0,IS,1624721185,51,66.0449,-17.3389,69.71,8.95
331,ceyhan,6,TR,1624721781,46,37.0247,35.8175,91.74,11.74
332,cartagena del chaira,75,CO,1624721777,70,10.3997,-75.5144,83.82,10.36
333,wamba,100,NG,1624721277,63,8.9333,8.6,84.6,5.14
334,sorong,100,ID,1624721782,83,-0.8833,131.25,78.89,3.96
335,faya,96,SA,1624721783,15,18.3851,42.4509,84.72,13.38
336,clyde river,100,US,1624721783,73,41.3042,-82.9752,81.59,19.01
337,vostochnyy,92,RU,1624721783,44,55.8167,37.8667,89.78,3.47
338,salalah,75,OM,1624721784,83,17.0151,54.0924,82.49,12.66
339,anloga,100,GH,1624721784,80,5.7947,0.8973,73.62,11.03
340,narsaq,97,GL,1624721784,81,60.9167,-46.05,57.42,4.14
341,vila velha,100,PT,1624721187,54,42.0304,-8.1588,73.74,7.83
342,kamen-na-obi,100,RU,1624721785,83,53.7884,81.3423,55.22,3.65
343,verkhoyansk,79,RU,1624721785,42,67.5447,133.385,70.14,5.17
344,trapani,0,IT,1624721785,62,37.8333,12.6667,90.28,10.36
345,grand river south east,40,US,1624721203,46,38.8755,-109.5012,72.59,11.32
346,beloha,11,MG,1624721786,73,-25.1667,45.05,65.53,4.23
347,port blair,32,CD,1624721193,44,-7.0349,29.7638,79.21,1.72
348,ust-kuyga,74,RU,1624721786,63,70.0167,135.6,56.17,5.08
349,hami,98,CN,1624721787,16,42.8,93.45,87.15,10.11
350,svetlogorsk,17,BY,1624721220,60,52.6333,29.7333,83.05,7.11
351,komsomolskiy,1,UZ,1624721787,20,40.4272,71.7189,86.72,2.3
352,pisco,40,PE,1624721702,68,-13.7,-76.2167,67.01,3.44
353,payakumbuh,99,ID,1624721788,98,-0.2202,100.6308,69.1,3.44
354,murchison,100,NZ,1624721788,100,-41.8,172.3333,54.86,3.33
355,erenhot,0,CN,1624721788,36,43.6475,111.9767,78.12,9.6
356,nishihara,75,JP,1624721789,94,26.1842,127.7558,80.65,13.8
357,prince rupert,3,CA,1624721789,58,52.9669,-108.3847,68.16,5.35
358,darlowo,41,PL,1624721789,71,54.421,16.4107,64.74,9.64
359,san quintin,19,ML,1624721790,25,13.3034,-4.8956,100.09,8.86
360,tiksi,71,RU,1624721790,82,71.6872,128.8694,35.53,5.73
361,vostok,25,RU,1624721221,86,46.4856,135.8833,58.87,4.65
362,smithers,20,CA,1624721279,77,54.7804,-127.1743,64.72,2.3
363,villazon,68,BO,1624721791,8,-22.0866,-65.5942,49.64,5.57
364,svidnik,52,SK,1624721792,64,49.3082,21.5703,78.19,9.8
365,nouadhibou,7,MR,1624721278,65,20.931,-17.0347,76.98,17.27
366,oktyabrskoye,83,RU,1624721792,55,43.0645,44.7417,86.14,4.47
367,young,84,UY,1624721793,68,-32.6833,-57.6333,57.22,7.31
